oo,op,n,t
0,sub,80,3.0994415283203125e-06
1,sub,80,4.0531158447265625e-06
0,add,81,3.0994415283203125e-06
1,add,81,3.0994415283203125e-06
0,sub,81,2.86102294921875e-06
1,sub,81,4.291534423828125e-06
0,add,82,3.0994415283203125e-06
1,add,82,2.86102294921875e-06
0,sub,82,3.0994415283203125e-06
1,sub,82,3.814697265625e-06
0,add,83,2.86102294921875e-06
1,add,83,4.291534423828125e-06
0,sub,83,3.814697265625e-06
1,sub,83,5.0067901611328125e-06
0,add,84,3.0994415283203125e-06
1,add,84,3.814697265625e-06
0,sub,84,3.0994415283203125e-06
1,sub,84,3.814697265625e-06
0,add,85,2.86102294921875e-06
1,add,85,4.0531158447265625e-06
0,sub,85,3.814697265625e-06
1,sub,85,4.0531158447265625e-06
0,add,86,3.0994415283203125e-06
1,add,86,3.814697265625e-06
0,sub,86,3.0994415283203125e-06
1,sub,86,3.814697265625e-06
0,add,87,2.86102294921875e-06
1,add,87,4.0531158447265625e-06
0,sub,87,3.814697265625e-06
1,sub,87,5.245208740234375e-06
0,add,88,2.6226043701171875e-06
1,add,88,4.0531158447265625e-06
0,sub,88,3.0994415283203125e-06
1,sub,88,3.814697265625e-06
0,add,89,3.0994415283203125e-06
1,add,89,4.0531158447265625e-06
0,sub,89,4.0531158447265625e-06
1,sub,89,3.814697265625e-06
0,add,90,4.0531158447265625e-06
1,add,90,4.0531158447265625e-06
0,sub,90,3.0994415283203125e-06
1,sub,90,4.76837158203125e-06
0,add,91,3.0994415283203125e-06
1,add,91,4.291534423828125e-06
0,sub,91,3.814697265625e-06
1,sub,91,4.0531158447265625e-06
0,add,92,3.814697265625e-06
1,add,92,4.0531158447265625e-06
0,sub,92,2.86102294921875e-06
1,sub,92,4.291534423828125e-06
0,add,93,2.86102294921875e-06
1,add,93,4.0531158447265625e-06
0,sub,93,4.0531158447265625e-06
1,sub,93,5.0067901611328125e-06
0,add,94,3.0994415283203125e-06
1,add,94,4.0531158447265625e-06
0,sub,94,4.291534423828125e-06
1,sub,94,4.76837158203125e-06
0,add,95,2.6226043701171875e-06
1,add,95,5.245208740234375e-06
0,sub,95,4.0531158447265625e-06
1,sub,95,4.76837158203125e-06
0,add,96,3.814697265625e-06
1,add,96,5.0067901611328125e-06
0,sub,96,4.0531158447265625e-06
1,sub,96,3.814697265625e-06
0,add,97,3.814697265625e-06
1,add,97,4.0531158447265625e-06
0,sub,97,3.0994415283203125e-06
1,sub,97,5.245208740234375e-06
0,add,98,3.814697265625e-06
1,add,98,4.0531158447265625e-06
0,sub,98,4.291534423828125e-06
1,sub,98,4.76837158203125e-06
0,add,99,3.814697265625e-06
1,add,99,5.245208740234375e-06
0,sub,99,4.0531158447265625e-06
1,sub,99,4.76837158203125e-06
0,add,100,2.86102294921875e-06
1,add,100,4.0531158447265625e-06
0,sub,100,2.86102294921875e-06
1,sub,100,5.0067901611328125e-06
0,add,101,2.86102294921875e-06
1,add,101,4.0531158447265625e-06
0,sub,101,4.0531158447265625e-06
1,sub,101,5.245208740234375e-06
0,add,102,4.0531158447265625e-06
1,add,102,3.814697265625e-06
0,sub,102,4.0531158447265625e-06
1,sub,102,5.0067901611328125e-06
0,add,103,2.6226043701171875e-06
1,add,103,4.0531158447265625e-06
0,sub,103,3.814697265625e-06
1,sub,103,6.198883056640625e-06
0,add,104,3.0994415283203125e-06
1,add,104,5.245208740234375e-06
0,sub,104,3.814697265625e-06
1,sub,104,4.0531158447265625e-06
0,add,105,4.0531158447265625e-06
1,add,105,3.814697265625e-06
0,sub,105,3.0994415283203125e-06
1,sub,105,5.0067901611328125e-06
0,add,106,2.86102294921875e-06
1,add,106,1.2159347534179688e-05
0,sub,106,4.0531158447265625e-06
1,sub,106,4.76837158203125e-06
0,add,107,3.814697265625e-06
1,add,107,4.0531158447265625e-06
0,sub,107,4.0531158447265625e-06
1,sub,107,5.0067901611328125e-06
0,add,108,2.86102294921875e-06
1,add,108,5.0067901611328125e-06
0,sub,108,4.291534423828125e-06
1,sub,108,5.0067901611328125e-06
0,add,109,3.0994415283203125e-06
1,add,109,4.76837158203125e-06
0,sub,109,4.0531158447265625e-06
1,sub,109,5.9604644775390625e-06
0,add,110,4.0531158447265625e-06
1,add,110,4.76837158203125e-06
0,sub,110,4.291534423828125e-06
1,sub,110,4.76837158203125e-06
0,add,111,4.0531158447265625e-06
1,add,111,5.0067901611328125e-06
0,sub,111,4.0531158447265625e-06
1,sub,111,5.0067901611328125e-06
0,add,112,4.0531158447265625e-06
1,add,112,5.0067901611328125e-06
0,sub,112,4.0531158447265625e-06
1,sub,112,5.0067901611328125e-06
0,add,113,4.291534423828125e-06
1,add,113,4.76837158203125e-06
0,sub,113,4.291534423828125e-06
1,sub,113,5.7220458984375e-06
0,add,114,3.814697265625e-06
1,add,114,5.245208740234375e-06
0,sub,114,3.814697265625e-06
1,sub,114,6.198883056640625e-06
0,add,115,4.0531158447265625e-06
1,add,115,5.0067901611328125e-06
0,sub,115,4.291534423828125e-06
1,sub,115,4.76837158203125e-06
0,add,116,4.291534423828125e-06
1,add,116,4.76837158203125e-06
0,sub,116,5.245208740234375e-06
1,sub,116,5.7220458984375e-06
0,add,117,5.245208740234375e-06
1,add,117,4.76837158203125e-06
0,sub,117,4.0531158447265625e-06
1,sub,117,5.7220458984375e-06
0,add,118,4.0531158447265625e-06
1,add,118,5.0067901611328125e-06
0,sub,118,4.0531158447265625e-06
1,sub,118,4.76837158203125e-06
0,add,119,4.0531158447265625e-06
1,add,119,4.76837158203125e-06
0,sub,119,4.291534423828125e-06
1,sub,119,5.9604644775390625e-06
0,add,120,3.814697265625e-06
1,add,120,5.0067901611328125e-06
0,sub,120,3.814697265625e-06
1,sub,120,5.0067901611328125e-06
0,add,121,4.0531158447265625e-06
1,add,121,4.76837158203125e-06
0,sub,121,5.0067901611328125e-06
1,sub,121,5.9604644775390625e-06
0,add,122,4.76837158203125e-06
1,add,122,6.198883056640625e-06
0,sub,122,4.76837158203125e-06
1,sub,122,6.198883056640625e-06
0,add,123,4.0531158447265625e-06
1,add,123,5.0067901611328125e-06
0,sub,123,4.0531158447265625e-06
1,sub,123,5.0067901611328125e-06
0,add,124,5.0067901611328125e-06
1,add,124,5.9604644775390625e-06
0,sub,124,5.245208740234375e-06
1,sub,124,5.7220458984375e-06
0,add,125,3.814697265625e-06
1,add,125,6.198883056640625e-06
0,sub,125,3.814697265625e-06
1,sub,125,5.9604644775390625e-06
0,add,126,4.0531158447265625e-06
1,add,126,5.0067901611328125e-06
0,sub,126,5.0067901611328125e-06
1,sub,126,5.9604644775390625e-06
0,add,127,3.814697265625e-06
1,add,127,6.198883056640625e-06
0,sub,127,4.76837158203125e-06
1,sub,127,2.8133392333984375e-05
0,add,128,4.0531158447265625e-06
1,add,128,4.76837158203125e-06
0,sub,128,4.0531158447265625e-06
1,sub,128,4.76837158203125e-06
0,add,129,5.0067901611328125e-06
1,add,129,5.9604644775390625e-06
0,sub,129,5.0067901611328125e-06
1,sub,129,5.245208740234375e-06
0,add,130,4.76837158203125e-06
1,add,130,5.245208740234375e-06
0,sub,130,4.76837158203125e-06
1,sub,130,6.198883056640625e-06
0,add,131,4.0531158447265625e-06
1,add,131,5.0067901611328125e-06
0,sub,131,4.76837158203125e-06
1,sub,131,6.198883056640625e-06
0,add,132,5.245208740234375e-06
1,add,132,4.76837158203125e-06
0,sub,132,4.0531158447265625e-06
1,sub,132,5.9604644775390625e-06
0,add,133,5.0067901611328125e-06
1,add,133,5.7220458984375e-06
0,sub,133,5.245208740234375e-06
1,sub,133,5.9604644775390625e-06
0,add,134,4.0531158447265625e-06
1,add,134,5.0067901611328125e-06
0,sub,134,4.0531158447265625e-06
1,sub,134,5.7220458984375e-06
0,add,135,5.0067901611328125e-06
1,add,135,5.9604644775390625e-06
0,sub,135,4.0531158447265625e-06
1,sub,135,5.9604644775390625e-06
0,add,136,4.0531158447265625e-06
1,add,136,4.76837158203125e-06
0,sub,136,5.245208740234375e-06
1,sub,136,6.9141387939453125e-06
0,add,137,5.0067901611328125e-06
1,add,137,5.9604644775390625e-06
0,sub,137,4.0531158447265625e-06
1,sub,137,5.7220458984375e-06
0,add,138,5.0067901611328125e-06
1,add,138,5.9604644775390625e-06
0,sub,138,5.0067901611328125e-06
1,sub,138,6.9141387939453125e-06
0,add,139,4.0531158447265625e-06
1,add,139,5.9604644775390625e-06
0,sub,139,5.0067901611328125e-06
1,sub,139,5.7220458984375e-06
0,add,140,4.76837158203125e-06
1,add,140,6.198883056640625e-06
0,sub,140,5.0067901611328125e-06
1,sub,140,1.5974044799804688e-05
0,add,141,5.0067901611328125e-06
1,add,141,5.245208740234375e-06
0,sub,141,4.76837158203125e-06
1,sub,141,6.9141387939453125e-06
0,add,142,4.0531158447265625e-06
1,add,142,5.9604644775390625e-06
0,sub,142,5.0067901611328125e-06
1,sub,142,5.7220458984375e-06
0,add,143,5.245208740234375e-06
1,add,143,5.7220458984375e-06
0,sub,143,4.0531158447265625e-06
1,sub,143,5.9604644775390625e-06
0,add,144,4.76837158203125e-06
1,add,144,5.245208740234375e-06
0,sub,144,4.76837158203125e-06
1,sub,144,6.198883056640625e-06
0,add,145,5.0067901611328125e-06
1,add,145,5.9604644775390625e-06
0,sub,145,5.245208740234375e-06
1,sub,145,5.9604644775390625e-06
0,add,146,5.0067901611328125e-06
1,add,146,5.9604644775390625e-06
0,sub,146,4.76837158203125e-06
1,sub,146,6.198883056640625e-06
0,add,147,5.245208740234375e-06
1,add,147,5.7220458984375e-06
0,sub,147,5.0067901611328125e-06
1,sub,147,5.9604644775390625e-06
0,add,148,4.76837158203125e-06
1,add,148,6.198883056640625e-06
0,sub,148,4.76837158203125e-06
1,sub,148,5.7220458984375e-06
0,add,149,5.245208740234375e-06
1,add,149,5.9604644775390625e-06
0,sub,149,5.7220458984375e-06
1,sub,149,7.152557373046875e-06
0,add,150,5.0067901611328125e-06
1,add,150,5.7220458984375e-06
0,sub,150,6.198883056640625e-06
1,sub,150,6.9141387939453125e-06
0,add,151,5.245208740234375e-06
1,add,151,5.9604644775390625e-06
0,sub,151,5.9604644775390625e-06
1,sub,151,6.9141387939453125e-06
0,add,152,5.0067901611328125e-06
1,add,152,6.198883056640625e-06
0,sub,152,4.76837158203125e-06
1,sub,152,5.7220458984375e-06
0,add,153,4.76837158203125e-06
1,add,153,5.9604644775390625e-06
0,sub,153,5.9604644775390625e-06
1,sub,153,6.9141387939453125e-06
0,add,154,4.76837158203125e-06
1,add,154,6.198883056640625e-06
0,sub,154,5.0067901611328125e-06
1,sub,154,5.9604644775390625e-06
0,add,155,5.0067901611328125e-06
1,add,155,5.9604644775390625e-06
0,sub,155,5.7220458984375e-06
1,sub,155,6.9141387939453125e-06
0,add,156,5.7220458984375e-06
1,add,156,6.198883056640625e-06
0,sub,156,5.0067901611328125e-06
1,sub,156,6.9141387939453125e-06
0,add,157,4.76837158203125e-06
1,add,157,1.2874603271484375e-05
0,sub,157,5.9604644775390625e-06
1,sub,157,7.152557373046875e-06
0,add,158,4.76837158203125e-06
1,add,158,6.198883056640625e-06
0,sub,158,5.7220458984375e-06
1,sub,158,6.9141387939453125e-06
0,add,159,5.0067901611328125e-06
1,add,159,6.198883056640625e-06
0,sub,159,5.0067901611328125e-06
1,sub,159,6.9141387939453125e-06
0,add,160,5.0067901611328125e-06
1,add,160,5.7220458984375e-06
0,sub,160,5.0067901611328125e-06
1,sub,160,6.9141387939453125e-06
0,add,161,5.0067901611328125e-06
1,add,161,6.198883056640625e-06
0,sub,161,5.9604644775390625e-06
1,sub,161,7.152557373046875e-06
0,add,162,5.0067901611328125e-06
1,add,162,6.198883056640625e-06
0,sub,162,6.198883056640625e-06
1,sub,162,6.9141387939453125e-06
0,add,163,5.245208740234375e-06
1,add,163,5.9604644775390625e-06
0,sub,163,5.0067901611328125e-06
1,sub,163,7.152557373046875e-06
0,add,164,4.76837158203125e-06
1,add,164,5.9604644775390625e-06
0,sub,164,4.76837158203125e-06
1,sub,164,6.9141387939453125e-06
0,add,165,5.245208740234375e-06
1,add,165,6.198883056640625e-06
0,sub,165,5.9604644775390625e-06
1,sub,165,7.867813110351562e-06
0,add,166,5.0067901611328125e-06
1,add,166,5.7220458984375e-06
0,sub,166,5.0067901611328125e-06
1,sub,166,6.9141387939453125e-06
0,add,167,4.76837158203125e-06
1,add,167,6.198883056640625e-06
0,sub,167,6.198883056640625e-06
1,sub,167,7.867813110351562e-06
0,add,168,6.198883056640625e-06
1,add,168,6.9141387939453125e-06
0,sub,168,4.76837158203125e-06
1,sub,168,7.152557373046875e-06
0,add,169,5.9604644775390625e-06
1,add,169,6.9141387939453125e-06
0,sub,169,6.198883056640625e-06
1,sub,169,8.106231689453125e-06
0,add,170,5.7220458984375e-06
1,add,170,6.9141387939453125e-06
0,sub,170,5.0067901611328125e-06
1,sub,170,8.106231689453125e-06
0,add,171,5.9604644775390625e-06
1,add,171,7.152557373046875e-06
0,sub,171,4.76837158203125e-06
1,sub,171,6.9141387939453125e-06
0,add,172,5.245208740234375e-06
1,add,172,7.152557373046875e-06
0,sub,172,5.9604644775390625e-06
1,sub,172,7.152557373046875e-06
0,add,173,5.9604644775390625e-06
1,add,173,6.9141387939453125e-06
0,sub,173,5.245208740234375e-06
1,sub,173,6.9141387939453125e-06
0,add,174,5.9604644775390625e-06
1,add,174,6.198883056640625e-06
0,sub,174,6.198883056640625e-06
1,sub,174,6.9141387939453125e-06
0,add,175,5.9604644775390625e-06
1,add,175,6.9141387939453125e-06
0,sub,175,6.198883056640625e-06
1,sub,175,7.867813110351562e-06
0,add,176,5.9604644775390625e-06
1,add,176,5.9604644775390625e-06
0,sub,176,6.198883056640625e-06
1,sub,176,6.9141387939453125e-06
0,add,177,5.0067901611328125e-06
1,add,177,6.9141387939453125e-06
0,sub,177,5.9604644775390625e-06
1,sub,177,8.106231689453125e-06
0,add,178,6.198883056640625e-06
1,add,178,7.152557373046875e-06
0,sub,178,6.9141387939453125e-06
1,sub,178,9.059906005859375e-06
0,add,179,2.09808349609375e-05
1,add,179,8.106231689453125e-06
0,sub,179,5.9604644775390625e-06
1,sub,179,7.867813110351562e-06
0,add,180,5.9604644775390625e-06
1,add,180,6.9141387939453125e-06
0,sub,180,6.198883056640625e-06
1,sub,180,7.867813110351562e-06
0,add,181,5.9604644775390625e-06
1,add,181,6.9141387939453125e-06
0,sub,181,6.9141387939453125e-06
1,sub,181,7.867813110351562e-06
0,add,182,6.198883056640625e-06
1,add,182,6.9141387939453125e-06
0,sub,182,5.7220458984375e-06
1,sub,182,7.867813110351562e-06
0,add,183,4.76837158203125e-06
1,add,183,6.9141387939453125e-06
0,sub,183,6.198883056640625e-06
1,sub,183,7.867813110351562e-06
0,add,184,5.9604644775390625e-06
1,add,184,7.152557373046875e-06
0,sub,184,6.198883056640625e-06
1,sub,184,8.106231689453125e-06
0,add,185,5.9604644775390625e-06
1,add,185,6.9141387939453125e-06
0,sub,185,5.9604644775390625e-06
1,sub,185,7.867813110351562e-06
0,add,186,5.7220458984375e-06
1,add,186,8.106231689453125e-06
0,sub,186,7.152557373046875e-06
1,sub,186,8.821487426757812e-06
0,add,187,4.76837158203125e-06
1,add,187,8.106231689453125e-06
0,sub,187,5.9604644775390625e-06
1,sub,187,7.867813110351562e-06
0,add,188,5.9604644775390625e-06
1,add,188,8.106231689453125e-06
0,sub,188,6.9141387939453125e-06
1,sub,188,8.106231689453125e-06
0,add,189,5.7220458984375e-06
1,add,189,7.152557373046875e-06
0,sub,189,5.9604644775390625e-06
1,sub,189,8.821487426757812e-06
0,add,190,6.9141387939453125e-06
1,add,190,7.867813110351562e-06
0,sub,190,6.9141387939453125e-06
1,sub,190,8.821487426757812e-06
0,add,191,5.7220458984375e-06
1,add,191,7.867813110351562e-06
0,sub,191,7.152557373046875e-06
1,sub,191,9.059906005859375e-06
0,add,192,7.152557373046875e-06
1,add,192,8.106231689453125e-06
0,sub,192,6.9141387939453125e-06
1,sub,192,9.059906005859375e-06
0,add,193,6.9141387939453125e-06
1,add,193,8.106231689453125e-06
0,sub,193,6.9141387939453125e-06
1,sub,193,9.059906005859375e-06
0,add,194,6.9141387939453125e-06
1,add,194,7.867813110351562e-06
0,sub,194,7.152557373046875e-06
1,sub,194,9.059906005859375e-06
0,add,195,6.198883056640625e-06
1,add,195,7.152557373046875e-06
0,sub,195,5.7220458984375e-06
1,sub,195,7.867813110351562e-06
0,add,196,5.7220458984375e-06
1,add,196,8.106231689453125e-06
0,sub,196,6.9141387939453125e-06
1,sub,196,8.106231689453125e-06
0,add,197,5.9604644775390625e-06
